time,BTCUSDT_Open,ETHUSDT_Open,SOLUSDT_Open,DOGEUSDT_Open,ADAUSDT_Open,BNBUSDT_Open,LINKUSDT_Open,TRXUSDT_Open,XRPUSDT_Open,USDCUSDT_Open
2023-07-10,30160.71,1862.81,21.32,0.06537,0.2843,234.1,6.149,0.07747,0.4681,0.9999
2023-07-11,30411.57,1880.41,21.3,0.06523,0.2878,246.2,6.169,0.07755,0.478,0.9999
2023-07-12,30622.1,1878.31,22.06,0.06529,0.2927,248.6,6.205,0.07734,0.4753,0.9999
2023-07-13,30380.0,1871.82,21.93,0.06504,0.289,243.9,6.252,0.07784,0.471,1.0
2023-07-14,31454.23,2004.49,26.01,0.07042,0.3567,256.2,7.125,0.08172,0.8151,0.9996
2023-07-15,30312.0,1937.82,26.67,0.06848,0.3278,248.1,6.957,0.07988,0.7178,0.9995
2023-07-16,30289.52,1931.41,27.47,0.07196,0.3261,251.1,6.918,0.08082,0.7144,0.9997
2023-07-17,30232.0,1922.12,27.41,0.06951,0.3145,242.3,6.608,0.07979,0.7468,0.9995
2023-07-18,30138.01,1911.21,26.8,0.06982,0.3117,244.1,7.186,0.07997,0.7373,0.9998
2023-07-19,29859.14,1897.21,25.54,0.06867,0.3094,240.3,6.913,0.07978,0.778,0.9999
2023-07-20,29909.21,1888.64,26.31,0.07004,0.3226,240.9,6.916,0.0803,0.8198,0.9999
2023-07-21,29800.0,1891.59,25.38,0.07061,0.3161,242.8,8.361,0.08073,0.7942,1.0
2023-07-22,29901.72,1891.73,25.51,0.07322,0.3128,243.8,8.128,0.08043,0.7713,1.0
2023-07-23,29793.99,1866.52,24.52,0.07047,0.31,241.1,7.88,0.0839,0.733,1.0
2023-07-24,30083.75,1888.74,24.76,0.07179,0.3172,242.4,7.89,0.08337,0.7384,1.0
2023-07-25,29176.5,1850.0,23.36,0.0742,0.3051,238.9,7.584,0.08149,0.702,1.0001
2023-07-26,29228.91,1857.66,23.28,0.08185,0.3037,237.8,7.391,0.0819,0.709,1.0002
2023-07-27,29351.95,1871.99,25.18,0.07794,0.3069,239.0,7.741,0.08241,0.7161,1.0
2023-07-28,29222.78,1861.29,25.1,0.07761,0.3078,240.7,7.987,0.08265,0.7138,1.0002
2023-07-29,29314.14,1874.2,24.82,0.07717,0.3099,241.9,7.77,0.08507,0.7119,1.0001
2023-07-30,29352.9,1880.45,25.17,0.08024,0.3129,242.5,7.843,0.08321,0.7122,1.0
2023-07-31,29281.09,1861.79,24.25,0.07802,0.3157,242.6,7.555,0.08,0.7047,1.0001
2023-08-01,29232.26,1856.13,23.72,0.07786,0.307,241.0,7.55,0.07792,0.6976,1.0002
2023-08-02,29705.99,1873.48,24.06,0.07815,0.3103,247.8,7.643,0.07866,0.7069,1.0005
2023-08-03,29186.0,1839.9,23.14,0.07422,0.2993,240.7,7.35,0.07632,0.6849,1.0005
2023-08-04,29193.65,1835.81,22.65,0.07358,0.2923,241.1,7.125,0.07713,0.6629,1.0008
2023-08-05,29114.0,1830.24,22.8,0.07346,0.2936,241.7,7.143,0.07678,0.6356,1.0013
2023-08-06,29072.13,1836.48,22.66,0.07572,0.2938,243.3,7.231,0.07754,0.6288,1.0009
2023-08-07,29088.43,1830.28,23.2,0.07427,0.2922,243.1,7.101,0.077,0.624,1.0015
2023-08-08,29211.06,1829.1,23.11,0.07354,0.291,242.0,7.328,0.07685,0.6235,1.0011
2023-08-09,29770.41,1856.3,24.22,0.07497,0.2974,245.2,7.458,0.07676,0.6418,1.0004
2023-08-10,29581.99,1855.36,24.39,0.07542,0.3014,243.9,7.678,0.07674,0.6434,1.0007
2023-08-11,29455.76,1852.47,24.63,0.07587,0.2965,241.5,7.619,0.07735,0.6331,1.0011
2023-08-12,29426.02,1848.84,24.63,0.07574,0.2934,239.8,7.492,0.07723,0.6317,1.0011
2023-08-13,29430.18,1849.94,24.91,0.0767,0.292,240.3,7.443,0.07751,0.6276,1.0006
2023-08-14,29303.85,1840.73,24.22,0.07479,0.2895,240.2,7.368,0.07711,0.6256,1.0008
2023-08-15,29430.92,1845.5,25.19,0.0747,0.2906,240.5,7.412,0.07748,0.6342,1.0011
2023-08-16,29200.01,1828.98,23.91,0.07092,0.282,236.8,7.041,0.07633,0.6104,1.0011
2023-08-17,28730.51,1807.81,22.82,0.06718,0.2748,232.1,6.763,0.07466,0.589,1.0013
2023-08-18,26623.41,1681.49,21.67,0.06102,0.2552,218.1,6.187,0.07264,0.5064,1.0003
2023-08-19,26054.0,1661.6,21.34,0.06326,0.264,216.0,6.175,0.07297,0.5062,1.0003
2023-08-20,26100.01,1669.68,21.89,0.06379,0.2688,216.9,6.18,0.07408,0.52,1.0003
2023-08-21,26190.0,1685.23,21.78,0.06384,0.2703,216.6,6.22,0.07591,0.5385,1.0
2023-08-22,26126.92,1667.56,21.2,0.06253,0.2629,210.4,6.175,0.0751,0.5245,1.0001
2023-08-23,26055.99,1635.0,20.59,0.06258,0.2587,210.9,6.116,0.07548,0.5211,1.0006
2023-08-24,26432.71,1679.61,21.74,0.06379,0.2681,216.7,6.351,0.0776,0.5302,1.0002
2023-08-25,26180.05,1661.16,21.05,0.06308,0.2659,219.0,6.084,0.07664,0.5187,1.0005
2023-08-26,26060.0,1653.79,20.42,0.06312,0.2612,218.5,6.014,0.07724,0.5258,1.0006
2023-08-27,26017.38,1647.03,20.28,0.06289,0.261,216.4,6.005,0.07746,0.5231,1.0005
2023-08-28,26101.78,1658.33,20.79,0.06317,0.2635,218.4,6.029,0.07754,0.5235,1.0005
2023-08-29,26120.0,1653.08,20.57,0.06345,0.2676,218.8,5.981,0.07635,0.5232,1.0007
2023-08-30,27716.34,1729.41,21.79,0.0664,0.2726,226.9,6.193,0.07731,0.5398,1.0001
2023-08-31,27299.99,1705.23,20.82,0.06588,0.2655,223.8,5.925,0.07561,0.5284,1.0
2023-09-01,25940.77,1645.77,19.74,0.06379,0.2554,216.7,5.878,0.07672,0.511,1.0003
2023-09-02,25805.04,1629.13,19.33,0.06386,0.2551,213.7,5.941,0.07607,0.4981,1.0004
2023-09-03,25869.52,1637.02,19.5,0.06348,0.2562,214.4,5.972,0.07701,0.4989,1.0001
2023-09-04,25971.21,1635.84,19.57,0.06317,0.2559,214.4,6.03,0.07704,0.5047,1.0002
2023-09-05,25826.03,1630.52,19.52,0.06326,0.2562,215.3,6.013,0.07752,0.5087,1.0003
2023-09-06,25792.11,1634.46,20.26,0.06403,0.2578,214.6,6.138,0.07746,0.5056,1.0004
2023-09-07,25759.95,1633.15,19.63,0.06364,0.2577,215.2,6.301,0.07894,0.5033,1.0006
2023-09-08,26255.0,1648.11,19.92,0.06366,0.258,217.1,6.388,0.07917,0.5051,1.0005
2023-09-09,25910.5,1636.43,19.6,0.0637,0.2544,214.7,6.28,0.07916,0.5049,1.0003
2023-09-10,25901.6,1635.53,19.43,0.06338,0.2534,214.2,6.165,0.07918,0.5038,1.0003
2023-09-11,25841.6,1617.42,18.23,0.0613,0.2491,212.4,6.016,0.07831,0.4969,1.0003
